Receiver time, Accel X,Y,Z, Gyro X,Y,Z, Quaternion W,X,Y,Z, dt(or)index
1375383817635,-210,-468,2054,-1,-12,-6,1051617697,142349875,-52576311,154899865,-18585
1375383817635,-228,-459,2041,-2,-15,-5,1051617551,142362205,-52607595,154878903,-18580
1375383817671,-243,-462,2034,-3,-18,-6,1051617650,142372748,-52649800,154854199,-18575
1375383817671,-240,-468,2036,-2,-21,-6,1051616721,142388135,-52701810,154828668,-18570
1375383817673,-258,-467,2045,-4,-25,-6,1051615947,142400154,-52765320,154801232,-18565
1375383817673,-251,-465,2045,-5,-27,-6,1051615143,142410064,-52836898,154773161,-18560
1375383817680,-237,-462,2031,-7,-29,-7,1051615325,142414986,-52913681,154741165,-18555
1375383817680,-242,-449,2051,-11,-37,-8,1051616418,142412019,-53012639,154702590,-18550
1375383817682,-233,-449,2049,-9,-34,-7,1051616979,142411181,-53103318,154668447,-18544
1375383817683,-230,-453,2053,-6,-29,-8,1051617599,142416748,-53177273,154633688,-18539
1375383817684,-218,-449,2049,-2,-26,-8,1051617122,142432573,-53240657,154600546,-18534
1375383817685,-208,-444,2046,-1,-20,-10,1051617575,142451685,-53287104,154563849,-18529
1375383817725,-195,-445,2044,0,-15,-9,1051618102,142470740,-53318420,154531898,-18524
1375383817725,-198,-446,2046,0,-14,-10,1051619293,142489493,-53344980,154497329,-18519
1375383817727,-207,-446,2048,1,-14,-11,1051620482,142511279,-53371055,154460134,-18514
1375383817727,-206,-458,2036,3,-13,-12,1051621382,142538459,-53394179,154420928,-18509
1375383817730,-213,-457,2043,3,-16,-13,1051622058,142568780,-53425108,154377631,-18503
1375383817730,-212,-462,2037,2,-20,-14,1051622930,142597836,-53468037,154329985,-18498
1375383817736,-211,-463,2041,1,-23,-11,1051622434,142625646,-53520755,154289385,-18493
1375383817736,-240,-466,2035,-1,-31,-12,1051622506,142648029,-53593719,154242872,-18488
1375383817738,-242,-463,2046,-3,-27,-9,1051622305,142663723,-53660919,154206361,-18483
1375383817738,-254,-467,2057,-3,-32,-6,1051620227,142680355,-53743397,154176414,-18478
1375383817743,-247,-458,2039,-5,-30,-6,1051619070,142690855,-53822292,154147068,-18473
1375383817743,-243,-460,2051,-5,-28,-5,1051617891,142699799,-53895476,154121259,-18468
1375383817781,-246,-465,2045,-4,-21,-2,1051616178,142708018,-53949082,154106581,-18462
1375383817781,-239,-454,2038,-2,-16,0,1051613475,142720324,-53988936,154099673,-18457
1375383817783,-229,-448,2045,-2,-11,1,1051611267,142729253,-54014602,154097477,-18452
1375383817783,-229,-443,2044,-2,-9,0,1051609976,142736414,-54033097,154093167,-18447
1375383817786,-209,-445,2043,-3,-8,-1,1051609682,142739949,-54048924,154086344,-18442
1375383817786,-201,-442,2047,-2,-7,2,1051608098,142745397,-54060233,154088142,-18437
1375383817793,-196,-439,2044,-2,-8,3,1051606102,142750502,-54073762,154092282,-18432
1375383817793,-195,-447,2041,-3,-8,4,1051604155,142752326,-54087566,154099037,-18427
1375383817795,-215,-455,2045,-5,-11,4,1051602425,142750801,-54110347,154104261,-18422
1375383817795,-215,-453,2048,-5,-13,3,1051600522,142751363,-54140545,154106121,-18417
1375383817807,-224,-463,2042,-5,-14,5,1051597696,142751714,-54174289,154113223,-18412
1375383817807,-229,-458,2039,-6,-17,3,1051595381,142752292,-54217034,154113452,-18406
1375383817815,-232,-469,2049,-9,-16,4,1051593941,142743501,-54259304,154116545,-18401
1375383817815,-250,-468,2049,-12,-22,4,1051592644,142729789,-54319615,154116851,-18396
1375383817826,-263,-476,2053,-14,-28,5,1051590651,142712962,-54400089,154117646,-18391
1375383817827,-270,-460,2054,-15,-30,5,1051588521,142695174,-54487897,154117628,-18386
1375383817838,-246,-459,2056,-12,-19,6,1051586580,142679334,-54545145,154125286,-18381
